source,target,weight
8446573,497214,0.039
8446573,197597,0.022
8446573,9636410,0.018
8446573,433725,0.014
8446573,7525670,0.01
8446573,1060398,0.008
8446573,619186,0.007
8446573,1749548,0.007
8446573,33141,0.006
8446573,663755,0.006
8446573,1372946,0.006
8446573,56288,0.006
8446573,9244507,0.006
8446573,4683867,0.005
8446573,647452,0.005
8446573,1037931,0.005
8446573,51629,0.005
8446573,23718874,0.005
8446573,5140611,0.005
8446573,6355370,0.004
8446573,155392,0.004
8446573,1239401,0.004
8446573,106475,0.004
8446573,613647,0.004
8446573,25927814,0.004
8446573,505704,0.003
8446573,285899,0.003
8446573,810438,0.532
8446573,175278,0.114
8446573,616428,0.112
8446573,497214,0.041
8446573,1473055,0.027
8446573,9636410,0.025
8446573,197597,0.023
8446573,1060398,0.012
8446573,7525670,0.011
8446573,663755,0.009
8446573,1239401,0.007
8446573,5140611,0.007
8446573,51629,0.007
8446573,1260646,0.006
8446573,9244507,0.006
8446573,56288,0.005
8446573,155392,0.005
8446573,647452,0.005
8446573,10845050,0.005
8446573,4683867,0.004
8446573,285899,0.004
8446573,5729175,0.004
8446573,1749548,0.004
8446573,106475,0.004
8446573,197134,0.004
8446573,23718874,0.004
8446573,12661049,0.004
8446573,17029400,0.003
8446573,4378,0.003
8446573,302891,0.003
8446573,3757713,0.281
8446573,17883920,0.225
8446573,15843721,0.141
8446573,1315101,0.099
8446573,23874,0.068
8446573,165856,0.049
8446573,4370652,0.031
8446573,1372946,0.012
8446573,197597,0.01
8446573,87611,0.008
8446573,1006903,0.007
8446573,2972085,0.006
8446573,691109,0.005
8446573,24544912,0.005
8446573,1483597,0.005
8446573,656602,0.004
8446573,2536916,0.004
8446573,78122,0.003
8446573,2680980,0.003
8446573,1909539,0.003
8446573,11849,0.003
8446573,15959269,0.003
8446573,1444314,0.003
8446573,615282,0.003
8446573,2338632,0.003
8446573,31711089,0.003
8446573,29281882,0.003
8446573,19714,0.003
8446573,13319277,0.003
8446573,6060475,0.003
8446573,1830077,0.542
8446573,394260,0.333
8446573,692171,0.021
8446573,16801068,0.021
8446573,45740,0.014
8446573,9970052,0.014
8446573,40776645,0.014
8446573,5987706,0.014
8446573,2152413,0.007
8446573,11869,0.007
8446573,11696433,0.007
8446573,970300,0.007
8446573,6358735,0.755
8446573,12687192,0.026
8446573,891889,0.025
8446573,83862,0.022
8446573,16540482,0.021
8446573,3869193,0.018
8446573,16418793,0.017
8446573,3941889,0.016
8446573,329397,0.012
8446573,4160133,0.012
8446573,1483261,0.007
8446573,1319456,0.006
8446573,1310468,0.006
8446573,13547997,0.005
8446573,674790,0.005
8446573,3797675,0.005
8446573,11063598,0.005
8446573,7703616,0.005
8446573,2882297,0.004
8446573,13651458,0.003
8446573,2609951,0.003
8446573,8126891,0.003
8446573,2018167,0.003
8446573,5046302,0.003
8446573,15754252,0.003
8446573,1649771,0.003
8446573,5836587,0.002
8446573,6373771,0.002
8446573,4910715,0.002
8446573,6853681,0.002
8446573,8446573,0.861
8446573,19733683,0.083
8446573,5150297,0.056
8446573,3766663,0.564
8446573,1813882,0.095
8446573,179320,0.073
8446573,44975,0.044
8446573,1727528,0.029
8446573,10823695,0.028
8446573,28300828,0.015
8446573,41906,0.015
8446573,1941894,0.012
8446573,969070,0.012
8446573,9826683,0.012
8446573,20928291,0.01
8446573,959972,0.008
8446573,5379361,0.008
8446573,18298474,0.008
8446573,4529021,0.007
8446573,913631,0.007
8446573,1553807,0.007
8446573,86076,0.006
8446573,5544707,0.006
8446573,3990804,0.004
8446573,7326668,0.004
8446573,6428611,0.004
8446573,1649989,0.004
8446573,7288116,0.003
8446573,1126905,0.003
8446573,1788,0.003
8446573,650752,0.003
8446573,29153604,0.003
8446573,77567,0.003
8446573,3332224,1.0
8446573,612092,0.925
8446573,6358735,0.075
8446573,944947,0.844
8446573,2457529,0.01
8446573,956546,0.01
8446573,3681019,0.01
8446573,240448,0.005
8446573,5351125,0.005
8446573,555578,0.005
8446573,729230,0.005
8446573,3818,0.005
8446573,607868,0.005
8446573,857809,0.005
8446573,171091,0.005
8446573,21690857,0.005
8446573,458924,0.005
8446573,10623505,0.005
8446573,9432921,0.005
8446573,4760546,0.005
8446573,4103719,0.005
8446573,824173,0.005
8446573,379404,0.005
8446573,15367484,0.005
8446573,5856771,0.005
8446573,66491,0.005
8446573,4201229,0.005
8446573,13829480,0.005
8446573,931170,0.005
8446573,37182,0.005
8446573,14242,0.005
8446573,13504223,0.005
8446573,270909,0.005
8446573,8446573,1.0
8446573,6358735,0.812
8446573,6393612,0.042
8446573,4429108,0.042
8446573,12687192,0.021
8446573,1438478,0.021
8446573,34942004,0.021
8446573,16866547,0.021
8446573,25264581,0.021
8446573,1754002,1.0
8446573,3165635,0.351
8446573,2007468,0.2
8446573,357702,0.075
8446573,4420103,0.065
8446573,5534079,0.061
8446573,8528759,0.045
8446573,136564,0.037
8446573,344018,0.026
8446573,3454081,0.019
8446573,535101,0.015
8446573,2362778,0.01
8446573,10036267,0.01
8446573,128019,0.007
8446573,691860,0.007
8446573,5749437,0.007
8446573,3888965,0.007
8446573,145466,0.007
8446573,49141,0.006
8446573,15271922,0.005
8446573,985701,0.005
8446573,2396226,0.005
8446573,8320854,0.004
8446573,5900191,0.004
8446573,637039,0.004
8446573,1198924,0.003
8446573,5544859,0.003
8446573,964688,0.003
8446573,8430123,0.003
8446573,3155127,0.003
8446573,971499,0.003
8446573,587772,1.0
8446573,50838,0.261
8446573,6324199,0.183
8446573,775227,0.148
8446573,13041,0.106
8446573,23040076,0.103
8446573,14790466,0.038
8446573,165799,0.031
8446573,6170607,0.017
8446573,1312018,0.012
8446573,383212,0.011
8446573,3165635,0.009
8446573,196390,0.009
8446573,4217871,0.007
8446573,9091881,0.006
8446573,5855893,0.006
8446573,555740,0.005
8446573,608862,0.005
8446573,3099369,0.005
8446573,711311,0.004
8446573,20798510,0.004
8446573,43438,0.004
8446573,1064547,0.004
8446573,127009,0.003
8446573,1265681,0.003
8446573,1754873,0.003
8446573,10060928,0.003
8446573,571265,0.003
8446573,603872,0.003
8446573,3452011,0.003
8446573,612020,0.003
8446573,364501,1.0
8446573,6358735,0.808
8446573,4160133,0.076
8446573,11655498,0.02
8446573,8126891,0.02
8446573,2882297,0.015
8446573,12687192,0.01
8446573,3869193,0.01
8446573,995160,0.01
8446573,8446573,0.005
8446573,1318186,0.005
8446573,16388438,0.005
8446573,24299864,0.005
8446573,16418793,0.005
8446573,1069598,0.005
8446573,6358735,0.733
8446573,11655498,0.053
8446573,3869193,0.036
8446573,4160133,0.026
8446573,3941889,0.02
8446573,7374058,0.016
8446573,8446573,0.014
8446573,8126891,0.012
8446573,6720,0.01
8446573,83862,0.008
8446573,6725218,0.008
8446573,13547997,0.008
8446573,12687192,0.008
8446573,9248427,0.006
8446573,3634906,0.006
8446573,2882297,0.004
8446573,1483261,0.004
8446573,16418793,0.004
8446573,995160,0.004
8446573,5114084,0.002
8446573,56831527,0.002
8446573,978306,0.002
8446573,40488132,0.002
8446573,13769361,0.002
8446573,3863953,0.002
8446573,110943,0.002
8446573,1606945,0.002
8446573,16024854,0.002
8446573,36253,0.002
8446573,329397,0.002
8446573,8446573,1.0
8446573,6358735,0.741
8446573,11655498,0.054
8446573,3869193,0.036
8446573,4160133,0.026
8446573,3941889,0.02
8446573,7374058,0.016
8446573,8126891,0.012
8446573,6720,0.01
8446573,83862,0.008
8446573,6725218,0.008
8446573,13547997,0.008
8446573,12687192,0.008
8446573,9248427,0.006
8446573,3634906,0.006
8446573,2882297,0.004
8446573,1483261,0.004
8446573,16418793,0.004
8446573,995160,0.004
8446573,8446573,0.004
8446573,36796532,0.002
8446573,5114084,0.002
8446573,56831527,0.002
8446573,978306,0.002
8446573,40488132,0.002
8446573,13769361,0.002
8446573,3863953,0.002
8446573,110943,0.002
8446573,1606945,0.002
8446573,1318186,0.002
8446573,16024854,0.002
8446573,527589,0.405
8446573,40415,0.197
8446573,1840802,0.116
8446573,276834,0.035
8446573,944406,0.035
8446573,125011,0.032
8446573,1038121,0.026
8446573,2913845,0.023
8446573,282759,0.023
8446573,5834257,0.014
8446573,1587053,0.012
8446573,70067,0.009
8446573,22284,0.009
8446573,1872314,0.009
8446573,14086319,0.006
8446573,627280,0.006
8446573,39992,0.006
8446573,547626,0.006
8446573,5634381,0.003
8446573,8067797,0.003
8446573,7181293,0.003
8446573,476133,0.003
8446573,8281591,0.003
8446573,63777,0.003
8446573,537241,0.003
8446573,869950,0.003
8446573,283441,0.003
8446573,967540,0.003
8446573,1445228,0.003
8446573,8920712,0.003
8446573,8446573,1.0
8446573,8446573,1.0
8446573,3766663,0.782
8446573,2370200,0.038
8446573,210006,0.029
8446573,7751959,0.015
8446573,11839002,0.015
8446573,969070,0.012
8446573,7892779,0.009
8446573,442380,0.009
8446573,812287,0.009
8446573,5466341,0.006
8446573,1307187,0.006
8446573,139760,0.006
8446573,8466666,0.006
8446573,8081142,0.006
8446573,959972,0.006
8446573,1855348,0.006
8446573,328420,0.003
8446573,7255457,0.003
8446573,5833093,0.003
8446573,28700396,0.003
8446573,5544707,0.003
8446573,284478,0.003
8446573,8895424,0.003
8446573,10204176,0.003
8446573,5301131,0.003
8446573,5384581,0.003
8446573,2575327,0.003
8446573,10229883,0.003
8446573,4570744,0.003
8446573,145676,0.003
8446573,3612424,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,865236,0.524
1434517,625264,0.183
1434517,218045,0.041
1434517,2670454,0.021
1434517,316049,0.018
1434517,601530,0.018
1434517,6570181,0.014
1434517,5790321,0.011
1434517,1191767,0.011
1434517,1645142,0.009
1434517,914805,0.009
1434517,638150,0.009
1434517,347716,0.009
1434517,1107071,0.009
1434517,928489,0.009
1434517,394797,0.007
1434517,1447374,0.007
1434517,2481802,0.007
1434517,1111592,0.007
1434517,11741306,0.007
1434517,1302854,0.007
1434517,934140,0.007
1434517,1270995,0.007
1434517,54929,0.007
1434517,743706,0.007
1434517,57538,0.007
1434517,2464813,0.007
1434517,6895190,0.007
1434517,604609,0.007
1434517,6217683,0.007
1434517,1434517,1.0
1434517,1434517,1.0
1434517,7504421,0.444
1434517,3917035,0.286
1434517,8023934,0.079
1434517,10460610,0.079
1434517,12969209,0.063
1434517,13419716,0.032
1434517,1531285,0.016
1434517,1434517,1.0
1434517,1434517,1.0
1434517,2762632,0.202
1434517,8355852,0.188
1434517,1424661,0.164
1434517,3039877,0.126
1434517,14608,0.112
1434517,116825,0.069
1434517,13439553,0.03
1434517,1136941,0.028
1434517,11337551,0.021
1434517,11742031,0.019
1434517,5184014,0.007
1434517,34456002,0.005
1434517,6777741,0.004
1434517,10717566,0.004
1434517,468559,0.003
1434517,114212,0.003
1434517,2152569,0.003
1434517,8772211,0.002
1434517,95774,0.002
1434517,2168,0.001
1434517,21314536,0.001
1434517,123111,0.001
1434517,11764042,0.001
1434517,4618540,0.001
1434517,1497945,0.001
1434517,14802364,0.001
1434517,20249042,0.001
1434517,16634228,0.001
1434517,1873994,0.001
1434517,20193278,0.001
1434517,425799,0.125
1434517,5653442,0.118
1434517,38472985,0.112
1434517,7081900,0.07
1434517,3035518,0.064
1434517,1359900,0.064
1434517,25153919,0.054
1434517,7410123,0.054
1434517,3005786,0.042
1434517,38472905,0.035
1434517,1576384,0.035
1434517,12348628,0.026
1434517,1455590,0.026
1434517,3200491,0.019
1434517,1660665,0.016
1434517,30065079,0.016
1434517,10858573,0.016
1434517,1200279,0.016
1434517,68544,0.013
1434517,317707,0.01
1434517,410367,0.01
1434517,2305983,0.01
1434517,1136014,0.01
1434517,43057,0.006
1434517,100928,0.006
1434517,42327,0.006
1434517,1098760,0.006
1434517,6431823,0.006
1434517,3666398,0.006
1434517,5567815,0.003
1434517,7504421,0.569
1434517,7237526,0.126
1434517,3432917,0.092
1434517,1531285,0.07
1434517,8276200,0.061
1434517,2919756,0.017
1434517,3917035,0.014
1434517,368538,0.013
1434517,8023934,0.01
1434517,13189700,0.004
1434517,8360971,0.004
1434517,10951883,0.003
1434517,2423533,0.002
1434517,8956997,0.002
1434517,5955001,0.001
1434517,10460610,0.001
1434517,3905742,0.001
1434517,10710861,0.001
1434517,3410196,0.001
1434517,16504860,0.001
1434517,9105129,0.001
1434517,8438035,0.001
1434517,7646507,0.001
1434517,8012418,0.001
1434517,11507326,0.001
1434517,9053218,0.001
1434517,17573616,0.001
1434517,299623,0.0
1434517,12628222,0.0
1434517,12711583,0.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,14959090,0.5
1434517,1434517,0.5
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
1434517,1434517,1.0
48161724,43956475,1.0
48161724,9088025,0.875
48161724,14851807,0.125
48161724,6480345,1.0
48161724,671378,1.0
48161724,22204295,1.0
48161724,10627238,1.0
48161724,8446573,1.0
48161724,1434517,1.0
48161724,48161724,1.0
48161724,103165,0.875
48161724,1431984,0.062
48161724,38240,0.062
48161724,56095525,1.0
48161724,19634224,0.963
48161724,22736026,0.007
48161724,30883354,0.007
48161724,7278304,0.003
48161724,5185660,0.003
48161724,11352223,0.003
48161724,2708346,0.003
48161724,15703818,0.003
48161724,16746759,0.003
48161724,9417680,0.003
103165,103165,1.0
103165,103165,1.0
103165,103165,1.0
103165,103165,1.0
103165,103165,1.0
